rating,opponent,result,colour,timestamp
1200.0,no opponent,0,no colour,2020-06-06 18:24:25.013844
1150,mum,0.0,black,2020-06-07 18:24:25.015408
1143,anthony,0.0,white,2020-06-07 18:24:35.115630
1201,dean,1.0,black,2020-06-07 18:24:53.518010
1258,mum,1.0,black,2020-06-09 18:16:23.148757
1199,mum,0.0,black,2020-06-10 11:23:11.341349
1157,mum,0.0,black,2020-06-11 18:41:44.488417
1126,mum,0.0,black,2020-06-12 16:16:59.500451
1102,mum,0.0,white,2020-06-12 16:17:19.691897
1083,mum,0.0,white,2020-06-13 16:17:25.535446
1067,mum,0.0,black,2020-06-13 16:17:32.592986
1053.0,mum,0.0,white,2020-06-14 14:38:16.130703
1141.0,mum,1.0,white,2020-06-15 19:49:27.684733
1214.0,mum,1.0,white,2020-06-17 00:13:57.947749
1167.0,mum,0.0,white,2020-06-18 01:29:53.799432
